machine_id,machine_name,line_id,temperature,vibration,pressure,power_consumption,production_rate,defect_rate,machine_status,maintenance_status,downstream_delay,step,timestamp
M05,Machine D - Packaging Unit,LINE-2,37.18,0.898,94.58,12.13,1343.0,0.29,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M06,Machine E - Material Transfer,LINE-2,39.37,1.034,99.02,14.85,1347.4,0.33,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.22,1.467,101.92,20.79,1318.2,0.607,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M08,Machine G - Finishing Station,LINE-3,41.07,0.946,97.55,16.07,1320.1,0.456,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M09,Machine H - Final Inspection,LINE-3,39.66,0.786,95.27,12.82,1282.5,0.236,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.71,0.667,92.93,10.95,1241.5,0.284,HEALTHY,OK,0.0,3,2026-09-10T10:01:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.65,1.195,100.42,18.06,1217.0,0.161,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.56,1.592,104.45,21.65,1177.1,0.51,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.69,1.151,100.38,19.73,1403.5,0.289,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M04,Machine C - Quality Inspection,LINE-2,39.95,0.931,97.88,13.92,1381.9,0.183,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M05,Machine D - Packaging Unit,LINE-2,38.19,0.951,95.08,12.61,1350.4,0.3,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M06,Machine E - Material Transfer,LINE-2,38.71,1.116,98.95,15.63,1362.6,0.312,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.69,1.344,102.6,21.08,1323.8,0.548,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M08,Machine G - Finishing Station,LINE-3,41.37,1.023,96.94,15.86,1302.1,0.402,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M09,Machine H - Final Inspection,LINE-3,39.88,0.795,95.87,13.05,1291.8,0.123,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.91,0.709,94.15,10.89,1235.9,0.31,HEALTHY,OK,0.0,4,2026-09-10T10:02:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.69,1.123,101.73,18.4,1199.5,0.168,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.87,1.565,103.29,22.52,1189.4,0.513,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.7,1.222,100.91,19.41,1400.5,0.279,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M04,Machine C - Quality Inspection,LINE-2,40.4,0.941,98.39,13.94,1389.4,0.223,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M05,Machine D - Packaging Unit,LINE-2,38.73,0.937,94.21,12.48,1340.6,0.284,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M06,Machine E - Material Transfer,LINE-2,39.6,1.132,98.65,14.7,1350.3,0.264,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.73,1.416,102.58,21.18,1301.7,0.609,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M08,Machine G - Finishing Station,LINE-3,41.03,1.021,98.31,15.38,1295.3,0.418,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M09,Machine H - Final Inspection,LINE-3,39.37,0.874,96.18,13.25,1275.4,0.224,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,37.43,0.712,94.12,11.08,1243.1,0.296,HEALTHY,OK,0.0,5,2026-09-10T10:02:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.94,1.219,101.8,18.18,1199.0,0.244,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.7,1.459,103.1,22.25,1180.1,0.54,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.34,1.242,100.78,20.2,1398.4,0.24,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M04,Machine C - Quality Inspection,LINE-2,40.64,0.977,98.05,14.39,1367.2,0.162,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M05,Machine D - Packaging Unit,LINE-2,37.36,0.86,95.22,12.66,1352.2,0.258,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M06,Machine E - Material Transfer,LINE-2,38.08,1.103,98.76,15.14,1355.6,0.304,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.3,1.411,102.27,20.79,1318.6,0.606,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M08,Machine G - Finishing Station,LINE-3,41.33,0.98,97.76,15.92,1299.1,0.425,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M09,Machine H - Final Inspection,LINE-3,39.2,0.735,95.26,12.3,1274.6,0.222,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.89,0.71,94.54,11.4,1249.4,0.341,HEALTHY,OK,0.0,6,2026-09-10T10:03:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.04,1.158,101.0,18.06,1192.9,0.189,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.32,1.586,102.31,22.12,1171.7,0.514,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.95,1.108,100.96,19.32,1395.7,0.268,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M04,Machine C - Quality Inspection,LINE-2,39.74,1.021,97.91,14.1,1382.9,0.24,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M05,Machine D - Packaging Unit,LINE-2,37.86,0.826,95.53,12.4,1358.9,0.312,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M06,Machine E - Material Transfer,LINE-2,38.95,1.117,99.98,15.62,1350.6,0.305,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.43,1.358,102.17,20.99,1322.5,0.575,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M08,Machine G - Finishing Station,LINE-3,40.36,0.896,96.94,15.86,1297.7,0.458,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M09,Machine H - Final Inspection,LINE-3,40.44,0.752,96.17,12.88,1277.7,0.206,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,37.25,0.683,94.53,10.66,1250.1,0.378,HEALTHY,OK,0.0,7,2026-09-10T10:03:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.09,1.272,101.35,18.67,1199.5,0.195,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.69,1.522,102.57,22.2,1188.7,0.511,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.89,1.223,100.35,19.78,1385.3,0.29,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M04,Machine C - Quality Inspection,LINE-2,39.2,0.925,98.68,14.27,1374.2,0.155,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M05,Machine D - Packaging Unit,LINE-2,36.81,0.873,96.21,12.63,1345.5,0.314,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M06,Machine E - Material Transfer,LINE-2,38.38,1.085,99.05,14.97,1356.3,0.31,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.27,1.366,102.45,21.49,1312.2,0.573,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M08,Machine G - Finishing Station,LINE-3,41.53,0.99,98.2,15.87,1311.6,0.404,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M09,Machine H - Final Inspection,LINE-3,40.1,0.878,95.82,12.72,1276.4,0.214,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.37,0.732,93.73,11.34,1230.8,0.276,HEALTHY,OK,0.0,8,2026-09-10T10:04:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.33,1.159,101.42,18.45,1198.0,0.195,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.08,1.45,103.35,22.2,1183.1,0.517,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.12,1.302,100.46,19.41,1394.0,0.269,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M04,Machine C - Quality Inspection,LINE-2,39.5,0.956,97.96,14.1,1380.4,0.177,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M05,Machine D - Packaging Unit,LINE-2,38.36,0.937,94.92,12.3,1354.4,0.306,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M06,Machine E - Material Transfer,LINE-2,38.42,1.097,99.13,14.73,1351.5,0.256,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.53,1.462,101.87,21.11,1300.7,0.565,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M08,Machine G - Finishing Station,LINE-3,40.88,0.946,97.86,16.6,1290.6,0.375,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M09,Machine H - Final Inspection,LINE-3,40.09,0.881,95.39,13.07,1294.6,0.15,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.49,0.679,93.74,11.24,1251.9,0.247,HEALTHY,OK,0.0,9,2026-09-10T10:04:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.21,1.171,101.94,18.31,1194.9,0.216,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.31,1.522,102.16,22.16,1171.7,0.507,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.43,1.222,100.1,19.12,1405.7,0.307,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M04,Machine C - Quality Inspection,LINE-2,39.75,1.073,97.78,14.01,1382.2,0.181,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M05,Machine D - Packaging Unit,LINE-2,38.19,0.873,94.79,12.91,1341.7,0.228,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M06,Machine E - Material Transfer,LINE-2,39.64,1.227,98.8,14.42,1347.5,0.291,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.92,1.344,102.29,21.16,1308.0,0.621,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M08,Machine G - Finishing Station,LINE-3,41.82,1.009,97.33,15.96,1304.9,0.348,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M09,Machine H - Final Inspection,LINE-3,40.07,0.78,96.92,12.95,1293.3,0.167,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,37.23,0.716,93.57,11.05,1259.7,0.29,HEALTHY,OK,0.0,10,2026-09-10T10:05:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.32,1.199,100.85,18.4,1199.3,0.149,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.35,1.524,102.74,21.23,1186.3,0.508,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,41.71,1.134,100.92,19.6,1419.1,0.313,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M04,Machine C - Quality Inspection,LINE-2,40.16,0.992,98.41,14.19,1390.0,0.184,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M05,Machine D - Packaging Unit,LINE-2,37.83,0.876,95.4,12.95,1346.3,0.287,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M06,Machine E - Material Transfer,LINE-2,39.13,1.088,99.48,14.32,1343.4,0.277,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.07,1.352,101.54,20.94,1328.9,0.593,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M08,Machine G - Finishing Station,LINE-3,40.59,0.997,98.02,15.71,1292.7,0.417,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M09,Machine H - Final Inspection,LINE-3,39.91,0.832,95.99,13.21,1271.7,0.2,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.92,0.639,93.22,11.21,1247.2,0.269,HEALTHY,OK,0.0,11,2026-09-10T10:05:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.96,1.256,100.16,18.05,1192.6,0.244,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.11,1.538,102.43,21.66,1183.6,0.502,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.22,1.191,100.64,19.55,1406.2,0.324,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M04,Machine C - Quality Inspection,LINE-2,39.35,0.888,98.5,14.36,1371.8,0.144,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M05,Machine D - Packaging Unit,LINE-2,38.04,0.947,95.9,12.65,1347.0,0.273,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M06,Machine E - Material Transfer,LINE-2,39.0,1.085,98.49,15.61,1364.3,0.334,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.63,1.443,102.32,21.13,1330.0,0.619,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M08,Machine G - Finishing Station,LINE-3,41.3,1.032,97.67,15.46,1300.7,0.383,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M09,Machine H - Final Inspection,LINE-3,39.49,0.884,96.86,13.41,1282.0,0.241,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,37.0,0.71,93.45,11.12,1250.5,0.261,HEALTHY,OK,0.0,12,2026-09-10T10:06:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,41.98,1.196,102.2,18.77,1200.1,0.207,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,45.02,1.49,102.46,21.95,1174.0,0.462,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.2,1.22,99.61,19.46,1408.0,0.332,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M04,Machine C - Quality Inspection,LINE-2,40.41,1.002,97.58,13.67,1382.8,0.211,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M05,Machine D - Packaging Unit,LINE-2,38.51,0.955,94.93,12.13,1347.4,0.307,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M06,Machine E - Material Transfer,LINE-2,38.92,1.071,99.13,14.85,1345.0,0.309,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.84,1.412,102.14,20.66,1316.2,0.643,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M08,Machine G - Finishing Station,LINE-3,40.54,0.894,96.57,16.01,1300.2,0.396,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M09,Machine H - Final Inspection,LINE-3,40.49,0.666,96.2,13.47,1271.0,0.189,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.7,0.655,93.84,11.43,1264.7,0.29,HEALTHY,OK,0.0,13,2026-09-10T10:06:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.76,1.202,102.18,18.47,1201.0,0.211,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,46.27,1.543,102.65,22.29,1177.1,0.485,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.36,1.202,100.64,19.5,1402.7,0.313,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M04,Machine C - Quality Inspection,LINE-2,39.23,1.033,97.51,13.57,1379.5,0.203,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M05,Machine D - Packaging Unit,LINE-2,37.72,0.942,94.33,12.38,1345.3,0.299,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M06,Machine E - Material Transfer,LINE-2,39.11,1.05,99.36,15.02,1334.9,0.241,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.0,1.389,101.95,20.99,1321.8,0.628,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M08,Machine G - Finishing Station,LINE-3,40.56,0.941,96.95,16.09,1310.0,0.387,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M09,Machine H - Final Inspection,LINE-3,39.0,0.715,95.58,12.83,1276.7,0.201,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.88,0.752,93.66,10.74,1253.8,0.254,HEALTHY,OK,0.0,14,2026-09-10T10:07:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.16,1.205,101.23,18.98,1195.0,0.262,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.91,1.436,103.03,21.68,1174.0,0.512,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.22,1.169,100.99,19.85,1411.5,0.316,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M04,Machine C - Quality Inspection,LINE-2,40.55,0.906,97.84,13.74,1381.0,0.183,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M05,Machine D - Packaging Unit,LINE-2,37.93,0.994,94.92,12.62,1348.1,0.302,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M06,Machine E - Material Transfer,LINE-2,39.0,1.122,99.58,15.49,1352.5,0.318,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,43.54,1.396,102.47,21.26,1321.7,0.627,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M08,Machine G - Finishing Station,LINE-3,41.2,1.06,97.64,15.89,1302.7,0.312,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M09,Machine H - Final Inspection,LINE-3,40.15,0.618,95.14,13.14,1283.8,0.165,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.72,0.769,93.76,11.67,1250.0,0.312,HEALTHY,OK,0.0,15,2026-09-10T10:07:30Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.65,1.207,100.8,18.47,1199.7,0.159,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.9,1.463,103.46,22.01,1177.7,0.497,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M03,Machine B2 - Assembly Line 2,LINE-2,42.09,1.231,100.0,19.19,1408.8,0.288,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M04,Machine C - Quality Inspection,LINE-2,39.43,1.022,98.23,13.54,1381.8,0.222,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M05,Machine D - Packaging Unit,LINE-2,38.15,0.932,94.3,12.6,1347.6,0.286,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M06,Machine E - Material Transfer,LINE-2,39.35,1.174,99.9,15.39,1349.1,0.311,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M07,Machine F - Secondary Assembly (Backup / Reroute Line),LINE-3,44.31,1.406,102.07,21.25,1319.5,0.578,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M08,Machine G - Finishing Station,LINE-3,40.83,1.032,97.5,16.1,1305.4,0.389,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M09,Machine H - Final Inspection,LINE-3,40.3,0.819,95.38,13.43,1276.0,0.15,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M10,Machine I - Dispatch / Palletizing,LINE-3,36.58,0.649,94.03,10.92,1247.3,0.319,HEALTHY,OK,0.0,16,2026-09-10T10:08:00Z
M01,Machine A - Cutting / Raw Material Feed,LINE-1,42.14,1.216,101.5,18.68,1183.1,0.189,HEALTHY,OK,0.0,17,2026-09-10T10:08:30Z
M02,Machine B1 - Assembly Line 1,LINE-1,44.13,1.502,103.0,22.31,1189.5,0.506,HEALTHY,OK,0.0,17,2026-09-10T10:08:30Z
